SMILES,EA (eV)
*c1ccc(-c2ccc(c3cc(*)c(N)c(C)c3[N+](=O)[O-])s2)s1,3.182267520897007
*c1cc2cc3sc(c4cc(CC(=O)O)cc(*)c4O)cc3cc2s1,2.616635880916334
*c1ccc2c(c1)C(C)(C)c1cc(c4cc(*)c(C)c(C)c4N)ccc1-2,1.7535079776370148
*c1cc(F)c(c2cc(OC(F)F)cc(*)c2Cl)cc1F,2.496478734775816
*c1ccc(c3ccc(O)c(*)c3)c2nsnc12,3.626441477692355
*c1cc2ccc3cc(c5cc(CCCC)cc(*)c5N)cc4ccc(c1)c2c34,2.3879312470263505
*c1ccc(-c2ccc(c3cc(*)cc(N4CCCCC4)c3)s2)s1,2.4330054198190445
*c1cc2cc3sc(c4cc(O)cc(*)c4C)cc3cc2s1,2.3059476311367324
*c1ccc2c(c1)C(C)(C)c1cc(c4ncc(*)nc4C(=O)OCC)ccc1-2,3.152886482200444
*c1cc2ccc3cc(c5cccc(*)c5C(F)(F)F)cc4ccc(c1)c2c34,2.593347405860112
*c1cc2ccc3cc(c5ccc6c(c5)c5cc(*)ccc5n6CC5CO5)cc4ccc(c1)c2c34,2.349300074490273
*c1cc2ccc3cc(c5cc(=O)cc(*)[nH]5)cc4ccc(c1)c2c34,2.683876694837596
*c1cc2cc3sc(c4nccc(*)c4C#N)cc3cc2s1,3.2147381805616044
*c1ccc(c3cc(*)ccc3S)c2nsnc12,3.627827534579336
*c1ccc(-c2ccc(c3cccc(*)c3CN)s2)s1,2.3501944981630016
*c1cnc(OCc2ccccc2)c(c3ccc(*)cc3)c1,1.8671301038005337
*c1ccc2c(c1)[nH]c1cc(c4cc(C(=O)OC)cc(*)n4)ccc12,2.799274301407454
*c1ccc2c(c1)S(=O)(=O)c1cc(c4ccc(OC)c(*)c4)ccc1-2,2.592338455367999
*c1ccc(-c2ccc(c3ccc(NC(=O)CC#N)c(*)c3)s2)s1,2.70978617310883
*c1ccc2c(c1)[nH]c1cc(c4cc(*)c(C)nc4C)ccc12,1.6706798241944174
*c1cc(F)c(c2c(N)cc(Cl)c(*)c2Cl)cc1F,1.8032993826990389
*c1ccc(c3cnc(*)c(C(=O)OC)n3)c2nsnc12,4.222027967863184
*c1ccc(c2cc(CC)cc(*)c2N)cc1,1.3473549560015
*c1cc2cc3sc(c4ccnc(*)c4)cc3cc2s1,2.916571562797727
*c1cc2ccc3cc(c5nc(*)n(C6CCCCO6)n5)cc4ccc(c1)c2c34,2.5749657883888086
*c1cc2cc3sc(c4ccc(*)nc4N)cc3cc2s1,2.7227186412893856
*c1cc2ccc3cc(c5cc(*)ccc5OCc5ccccc5)cc4ccc(c1)c2c34,2.491222494298944
*c1ccc2c(c1)c1cc(c5ccc(*)cc5)ccc1n2CC(O)CNc1ccccc1,1.4723021547198438
*c1ccc(c3cc(*)c(N)c(OC(F)(F)F)c3)c2nsnc12,3.628938376692294
*c1cc2cc3sc(c4c[nH]cc(*)c4=O)cc3cc2s1,2.6497429963553203
*c1ccc2c3ccc(c5ccc6c(c5)S(=O)(=O)c5cc(*)ccc5-6)cc3c3ccccc3c2c1,2.938174286370756
*c1ccc2c(c1)[nH]c1cc(c4cc(*)cc5c4NC(=O)CC5)ccc12,1.828989896306742
*c1ccc(c3cc(C)nc(*)c3N)c2nsnc12,3.536286407994094
*c1ccc2c(c1)C(C)(C)c1cc(c4nnc(*)cc4C)ccc1-2,2.6567252746333443
*c1ccc(-c2ccc(c3sc(*)nc3C(=O)OC)s2)s1,3.5844227002323725
*c1ccc(c3cc(*)c(F)cn3)c2nsnc12,3.853073619568733
*c1ccc2c(c1)S(=O)(=O)c1cc(c4cc(C(=O)O)cc(*)n4)ccc1-2,3.270480551329197
*c1ccc2c(c1)S(=O)(=O)c1cc(c4ccc(C)cc4*)ccc1-2,2.657544198736771
*c1ccc(-c2ccc(c3cc(Cl)cc(*)c3Cl)s2)s1,2.9464544817795533
*c1ccc(c2cc(*)cc(C(N)=S)c2)cc1,2.419410907833896
*c1ccc(-c2ccc(c3ccc(Cl)c(*)c3)s2)s1,2.843111764506171
*c1cc(c3ccc(*)cc3)c2c(n1)CCCN2,1.7548950770897127
*c1ccc(c3sc(*)nc3C(=O)OCC)c2nsnc12,4.23852779065353
*c1cc2ccc3cc(c5cc(*)c(C)cc5C)cc4ccc(c1)c2c34,2.4979407886851237
*c1ccc2c(c1)S(=O)(=O)c1cc(c4cnc(CO)c(*)c4)ccc1-2,2.752073400443389
*c1ccc2c(c1)S(=O)(=O)c1cc(c4cc(*)cnc4C)ccc1-2,2.704759805457648
*c1cc2cc3sc(c4cncc(*)c4OC)cc3cc2s1,2.6936114964991
*c1ccc2c(c1)[nH]c1cc(c4ccc(*)c5nsnc45)ccc12,3.5172097324989524
*c1ccc2c(c1)C(C)(C)c1cc(c4cc(*)c(C)cc4C)ccc1-2,1.8808365069637665
*c1ccc2c(c1)[nH]c1cc(c4cnnc(*)c4)ccc12,2.558210134718246
*c1ccc(c2c(N)c(*)cc(C)c2Cl)cc1,1.466822166959154
*c1ccc2c(c1)[nH]c1cc(c4ccc(*)cc4)ccc12,1.907468690037932
*c1ccc(c2cccc(*)c2CC(=O)O)cc1,1.77916151518128
*c1ccc(-c2ccc(c3nc(C#N)c(*)n3C)s2)s1,2.923095330070033
*c1ccc(-c2ccc(c3ccc(*)c4[nH]ncc34)s2)s1,2.958062157885714
*c1cc2ccc3cc(c5[nH]nc6c(*)cncc56)cc4ccc(c1)c2c34,2.681022044528814
*c1ccc(c2ncc(*)c(C)c2[N+](=O)[O-])cc1,3.349653973379512
*c1ccc2c(c1)S(=O)(=O)c1cc(c4ccc(*)c5sc(-c6ccccc6)nc45)ccc1-2,2.998117330516324
*c1ccc2c(c1)S(=O)(=O)c1cc(c4c(C)c([N+](=O)[O-])cc(*)c4OC)ccc1-2,3.377118572858862
*c1ccc2c(c1)S(=O)(=O)c1cc(c4cc(*)c(N)c(C)c4F)ccc1-2,2.486786165348072
*c1ccc2c(c1)S(=O)(=O)c1cc(c4cc(*)c(Cl)c(Cl)c4)ccc1-2,2.944157453233664
*c1ccc(c3cc(*)cc4[nH]nc(N)c34)c2nsnc12,3.4887558031400707
*c1ccc2c(c1)C(C)(C)c1cc(c4cc(*)cn(C)c4=O)ccc1-2,2.2624240986017465
*c1ccc2c(c1)S(=O)(=O)c1cc(c4cc(C(=O)OC)[nH]c4*)ccc1-2,2.8129866652872657
*c1cc2cc3sc(c4cc(C#N)cc(*)c4O)cc3cc2s1,2.712026645861478
*c1cc2ccc3cc(c5c(F)c(*)c(F)c(F)c5F)cc4ccc(c1)c2c34,2.728901237824912
*c1ccc2c(c1)[nH]c1cc(c4nc(*)[nH]c4C)ccc12,1.6927934461514962
*c1cc2ccc3cc(c5cc(C#N)cc(*)c5O)cc4ccc(c1)c2c34,2.686695863532545
*c1cc(F)c(c2nc(F)cc(*)c2O)cc1F,2.7799899563276584
*c1ccc2c(c1)C(C)(C)c1cc(c4cn(C)cc(*)c4=O)ccc1-2,2.118396970952064
*c1cc2ccc3cc(c5ccc(*)c(Cl)c5Cl)cc4ccc(c1)c2c34,2.716461546723312
*c1cc(F)c(c2cc(F)cc(*)c2OC(C)C)cc1F,2.237875857812763
*c1cc(F)c(c2cc(C(F)(F)F)cc(*)c2O)cc1F,2.42317809796145
*c1ccc2c(c1)C(C)(C)c1cc(c4ccc(*)c(C)c4)ccc1-2,2.0557194909956387
*c1cc(F)c(c2cncc(*)c2C(=O)O)cc1F,2.9827996949814564
*c1cc2cc3sc(c4cc(Cl)cc(*)c4OC)cc3cc2s1,2.7605223016913216
*c1ccc2c(c1)[nH]c1cc(c4cc(*)c(C#N)c(F)c4)ccc12,2.6124540469136925
*c1cc2ccc3cc(c5ccc6c(c5)sc5cc(*)ccc56)cc4ccc(c1)c2c34,2.52419208703124
*c1cc2cc3sc(c4cc(*)c(F)c(Cl)c4)cc3cc2s1,2.862681343119707
*c1cc2ccc3cc(c5cc(*)cc(C)c5[N+](=O)[O-])cc4ccc(c1)c2c34,3.28353392146156
*c1ccc2c(c1)[nH]c1cc(c4cc(*)cc(CC(=O)O)c4)ccc12,1.9392532547032133
*c1cc2cc3sc(c4ccc(-c5ccc(-c6ccc(*)s6)s5)s4)cc3cc2s1,3.124994982381399
*c1ccc2c(c1)[nH]c1cc(c4ccc(N)c(*)c4C)ccc12,1.3514992327106614
*c1cc2cc3sc(c4cc(*)cc(OC(F)(F)F)c4N=C=S)cc3cc2s1,3.2231510887620782
*c1cc2cc3sc(c4c([N+](=O)[O-])ccc(*)c4F)cc3cc2s1,3.8246337480559114
